model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
8,SLSQP,[0.00645489 0.11553096 0.22917094],[0.00648423 0.11552612 0.22913795],0.017300431434670183,[0.03277613 0.07412583 0.11596308],2.1506608220260697,1.0882036685943604
8,SLSQP,[0.01489141 0.1173751  0.01144648],[0.01489147 0.11737502 0.0114465 ],8.157882493791054e-05,[0.09974987 0.02503579 0.01069384],99.25127851979259,0.6538426876068115
8,SLSQP,[0.04778212 0.01764775 0.1151412 ],[0.04778209 0.01764757 0.11514111],0.00016273698979507137,[0.08953884 0.01847312 0.11260891],28.84652202952697,0.3485076427459717
8,SLSQP,[0.02690246 0.02470238 0.09767606],[0.02690262 0.02470266 0.0976762 ],0.00032899546874184433,[0.07918871 0.04351872 0.11116196],39.91628945147707,0.3609549999237061
8,SLSQP,[0.12221623 0.18855933 0.169463  ],[0.12221622 0.18855938 0.16946284],6.217701897419235e-05,[0.07684708 0.05691423 0.02678361],77.54031848215759,0.9719715118408204
8,SLSQP,[0.01826237 0.19990711 0.01204091],[0.01826266 0.19990718 0.01204094],0.00015185935706031397,[0.06514142 0.01407351 0.01653007],95.16000591341191,0.4331057071685791
8,SLSQP,[0.17133641 0.21408307 0.05427659],[0.16345583 0.2086985  0.05291755],3.4489894016019256,[0.10971992 0.01580507 0.00383961],98.91916024522699,0.13949966430664062
8,SLSQP,[0.14191068 0.21411396 0.09861531],[0.14191059 0.21411391 0.09861517],6.285505409303938e-05,[0.1047326  0.0263738  0.03958817],91.9149439147876,0.5291545391082764
8,SLSQP,[0.1558936  0.15020501 0.14981591],[0.15589345 0.15020531 0.14981547],0.00020768643049950768,[0.09165886 0.07505523 0.01431137],60.56729165378577,1.0246944427490234
8,SLSQP,[0.01649667 0.00819029 0.02044694],[0.08596938 0.00046829 0.05205243],278.76577829882655,[0.11846721 0.07255362 0.04766005],20.063176262290536,0.13310980796813965
8,SLSQP,[0.11366865 0.24009621 0.02822372],[0.11366847 0.24009628 0.02822341],0.00013899299295975018,[0.10641287 0.0816368  0.04150153],45.600003023194596,1.0523149967193604
8,SLSQP,[0.00457792 0.28666517 0.02275641],[0.00457814 0.28666514 0.02275633],8.164794825775109e-05,[0.01613919 0.06406177 0.03221441],21.958377807594967,0.2964427471160889
8,SLSQP,[0.04586885 0.09871444 0.08771842],[0.0458688  0.09871436 0.08771858],0.00013693564674878734,[0.03011874 0.1232928  0.05924788],29.11248201931995,0.2999372482299805
8,SLSQP,[0.12840479 0.06161133 0.23375446],[0.12840479 0.06161143 0.23375417],0.00010915153360578232,[0.06934099 0.12287869 0.03937619],69.07831302852422,0.3768143653869629
8,SLSQP,[0.0677007  0.11526501 0.23252326],[0.06768713 0.11497738 0.23256748],0.10861780362555114,[0.03420022 0.08292489 0.08230575],11.662992855870323,1.0473604202270508
8,SLSQP,[0.11079984 0.13825751 0.07483975],[0.11079531 0.13825628 0.07483692],0.002849642751879871,[0.11623984 0.01948982 0.08302366],19.552649498604296,1.0709657669067385
8,SLSQP,[0.03997244 0.14963599 0.23362729],[0.03997253 0.14963592 0.2336273 ],4.1702182732591626e-05,[0.03468857 0.10270699 0.05310897],27.330596109862288,1.0299961566925049
8,SLSQP,[0.01515035 0.20831053 0.13952815],[0.01515039 0.20831055 0.13952808],3.2811181047769483e-05,[0.01025476 0.0329579  0.03137935],21.98386241819499,0.6950802803039551
