,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
113,modello_8.urdf,trac-ik,"0    0.260025
1    0.008417
2    0.136172
Name: 113, dtype: float64",[0 0 0],100.0,,-1,0.0051648616790771484
114,modello_8.urdf,trac-ik,"0    0.222390
1    0.185770
2    0.003496
Name: 114, dtype: float64",[0 0 0],100.0,,-1,0.005377769470214844
115,modello_8.urdf,trac-ik,"0    0.200083
1    0.212531
2    0.005710
Name: 115, dtype: float64",[0 0 0],100.0,,-1,0.0052187442779541016
116,modello_8.urdf,trac-ik,"0    0.173804
1    0.064721
2    0.118261
Name: 116, dtype: float64",[0.17380315 0.06472158 0.11827073],0.004417202053766727,,-1,0.0028848648071289062
117,modello_8.urdf,trac-ik,"0    0.038740
1    0.197254
2    0.047201
Name: 117, dtype: float64",[0 0 0],99.99999999999999,,-1,0.005187034606933594
118,modello_8.urdf,trac-ik,"0    0.055866
1    0.208150
2    0.136976
Name: 118, dtype: float64",[0.05586671 0.20814728 0.13697454],0.0010863017085781625,,-1,0.0004940032958984375
119,modello_8.urdf,trac-ik,"0    0.045654
1    0.014729
2    0.085256
Name: 119, dtype: float64",[0 0 0],100.0,,-1,0.005193948745727539
120,modello_8.urdf,trac-ik,"0    0.042938
1    0.291368
2    0.001352
Name: 120, dtype: float64",[0.04293752 0.29136578 0.001352  ],0.0006252022540714218,,-1,0.0004162788391113281
121,modello_8.urdf,trac-ik,"0    0.038214
1    0.069364
2    0.025957
Name: 121, dtype: float64",[0 0 0],100.00000000000001,,-1,0.005176067352294922
122,modello_8.urdf,trac-ik,"0    0.001240
1    0.239233
2    0.111705
Name: 122, dtype: float64",[0.00123965 0.23923293 0.11170534],8.389984940497453e-05,,-1,0.0004420280456542969
123,modello_8.urdf,trac-ik,"0    0.019510
1    0.002551
2    0.139992
Name: 123, dtype: float64",[0.01950993 0.00255087 0.1400002 ],0.006136681743113889,,-1,0.0027408599853515625
124,modello_8.urdf,trac-ik,"0    0.275163
1    0.075565
2    0.062507
Name: 124, dtype: float64",[0 0 0],100.0,,-1,0.005269765853881836
125,modello_8.urdf,trac-ik,"0    0.206377
1    0.064887
2    0.133795
Name: 125, dtype: float64",[0 0 0],100.0,,-1,0.005194664001464844
126,modello_8.urdf,trac-ik,"0    0.179146
1    0.048023
2    0.160633
Name: 126, dtype: float64",[0.1791463  0.04802313 0.16063319],0.00010581550856696879,,-1,0.0005905628204345703
127,modello_8.urdf,trac-ik,"0    0.112978
1    0.116706
2    0.102063
Name: 127, dtype: float64",[0.11297747 0.11670628 0.1020626 ],4.725807660259388e-05,,-1,0.00045228004455566406
128,modello_8.urdf,trac-ik,"0    0.066198
1    0.207003
2    0.013956
Name: 128, dtype: float64",[0.0661972  0.20700312 0.01395433],0.0009932821580298868,,-1,0.0008625984191894531
129,modello_8.urdf,trac-ik,"0    0.138350
1    0.147810
2    0.163368
Name: 129, dtype: float64",[0.13834877 0.14780878 0.16336791],0.0005746873010093587,,-1,0.0003943443298339844
130,modello_8.urdf,trac-ik,"0    0.185236
1    0.235417
2    0.009527
Name: 130, dtype: float64",[0 0 0],100.0,,-1,0.005177021026611328
131,modello_8.urdf,trac-ik,"0    0.085229
1    0.095057
2    0.065167
Name: 131, dtype: float64",[0 0 0],100.0,,-1,0.0051844120025634766
132,modello_8.urdf,trac-ik,"0    0.236126
1    0.143031
2    0.016010
Name: 132, dtype: float64",[0 0 0],100.0,,-1,0.00523066520690918
133,modello_8.urdf,trac-ik,"0    0.068242
1    0.204581
2    0.037928
Name: 133, dtype: float64",[0 0 0],100.0,,-1,0.0052149295806884766
134,modello_8.urdf,trac-ik,"0    0.128219
1    0.035203
2    0.004819
Name: 134, dtype: float64",[0 0 0],100.0,,-1,0.005212306976318359
135,modello_8.urdf,trac-ik,"0    0.033170
1    0.052128
2    0.058835
Name: 135, dtype: float64",[0 0 0],100.0,,-1,0.005188465118408203
136,modello_8.urdf,trac-ik,"0    0.061943
1    0.250434
2    0.127333
Name: 136, dtype: float64",[0.06194256 0.25043401 0.12733343],2.6388232525989917e-06,,-1,0.00047469139099121094
137,modello_8.urdf,trac-ik,"0    0.238006
1    0.134771
2    0.075888
Name: 137, dtype: float64",[0 0 0],100.0,,-1,0.005206584930419922
138,modello_8.urdf,trac-ik,"0    0.090939
1    0.271872
2    0.062559
Name: 138, dtype: float64",[0 0 0],100.0,,-1,0.0052378177642822266
139,modello_8.urdf,trac-ik,"0    0.086419
1    0.117444
2    0.166480
Name: 139, dtype: float64",[0.08641942 0.11744407 0.16648038],5.973424429244767e-06,,-1,0.0005102157592773438
140,modello_8.urdf,trac-ik,"0    0.267469
1    0.086084
2    0.048082
Name: 140, dtype: float64",[0 0 0],100.0,,-1,0.00518035888671875
141,modello_8.urdf,trac-ik,"0    0.200875
1    0.089754
2    0.091908
Name: 141, dtype: float64",[0 0 0],100.0,,-1,0.005201816558837891
142,modello_8.urdf,trac-ik,"0    0.171502
1    0.166694
2    0.108889
Name: 142, dtype: float64",[0.17150119 0.16669411 0.10888854],0.0001241419267143438,,-1,0.0005204677581787109
143,modello_8.urdf,trac-ik,"0    0.059853
1    0.203035
2    0.163962
Name: 143, dtype: float64",[0.059853   0.20303484 0.16396181],9.456683402449407e-05,,-1,0.0003643035888671875
144,modello_8.urdf,trac-ik,"0    0.191271
1    0.217004
2    0.035520
Name: 144, dtype: float64",[0 0 0],100.0,,-1,0.005208492279052734
145,modello_8.urdf,trac-ik,"0    0.143282
1    0.094736
2    0.127466
Name: 145, dtype: float64",[0.14328153 0.09473563 0.12746637],0.00018673086057156163,,-1,0.00048351287841796875
146,modello_8.urdf,trac-ik,"0    0.066524
1    0.095306
2    0.202897
Name: 146, dtype: float64",[0.06652446 0.09530574 0.20289727],1.9018678418421067e-06,,-1,0.00039839744567871094
147,modello_8.urdf,trac-ik,"0    0.002124
1    0.278705
2    0.096256
Name: 147, dtype: float64",[0.00212435 0.2787045  0.09625593],5.515110198866343e-05,,-1,0.0004413127899169922
148,modello_8.urdf,trac-ik,"0    0.001339
1    0.212332
2    0.148734
Name: 148, dtype: float64",[0.00133911 0.21233164 0.14873419],1.1450448596899774e-05,,-1,0.0003762245178222656
149,modello_8.urdf,trac-ik,"0    0.170051
1    0.138072
2    0.004835
Name: 149, dtype: float64",[0.17004991 0.13807244 0.00483561],0.0006144929725563779,,-1,0.0005528926849365234
150,modello_8.urdf,trac-ik,"0    0.123443
1    0.121876
2    0.189569
Name: 150, dtype: float64",[0.12343568 0.12187105 0.18956535],0.003921124917281814,,-1,0.00043892860412597656
151,modello_8.urdf,trac-ik,"0    0.092494
1    0.263463
2    0.058368
Name: 151, dtype: float64",[0.0924926  0.26346069 0.05836816],0.0008739196702494736,,-1,0.0004291534423828125
152,modello_8.urdf,trac-ik,"0    0.167424
1    0.114651
2    0.045403
Name: 152, dtype: float64",[0 0 0],100.0,,-1,0.005215883255004883
153,modello_8.urdf,trac-ik,"0    0.230270
1    0.113153
2    0.036233
Name: 153, dtype: float64",[0 0 0],100.0,,-1,0.00519251823425293
154,modello_8.urdf,trac-ik,"0    0.19513
1    0.07946
2    0.14053
Name: 154, dtype: float64",[0 0 0],100.0,,-1,0.005190134048461914
155,modello_8.urdf,trac-ik,"0    0.133860
1    0.047889
2    0.205861
Name: 155, dtype: float64",[0.13386029 0.04788849 0.20586112],3.1314682118034466e-05,,-1,0.0005991458892822266
156,modello_8.urdf,trac-ik,"0    0.131385
1    0.034101
2    0.177215
Name: 156, dtype: float64",[0.13138519 0.03410113 0.17721493],0.00019693099296965046,,-1,0.0004150867462158203
157,modello_8.urdf,trac-ik,"0    0.103029
1    0.145446
2    0.188891
Name: 157, dtype: float64",[0.1030293  0.14544559 0.1888906 ],5.183451195992273e-06,,-1,0.0003635883331298828
158,modello_8.urdf,trac-ik,"0    0.184633
1    0.235617
2    0.014379
Name: 158, dtype: float64",[0 0 0],100.0,,-1,0.005201101303100586
159,modello_8.urdf,trac-ik,"0    0.172176
1    0.233554
2    0.076077
Name: 159, dtype: float64",[0 0 0],100.0,,-1,0.005197763442993164
160,modello_8.urdf,trac-ik,"0    0.287253
1    0.046291
2    0.013034
Name: 160, dtype: float64",[0 0 0],100.0,,-1,0.0052187442779541016
161,modello_8.urdf,trac-ik,"0    0.148589
1    0.186599
2    0.123543
Name: 161, dtype: float64",[0.14858791 0.18659846 0.12354292],0.0005447252900941887,,-1,0.0004677772521972656
162,modello_8.urdf,trac-ik,"0    0.091536
1    0.018146
2    0.004097
Name: 162, dtype: float64",[0 0 0],99.99999999999999,,-1,0.005175590515136719
